                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3475,                 2.7077,                 1.6323,                  0.006,                      1,                0.22519,                0.14976,                0.91684,                 2.8691,                 1.2176,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.2211,                 2.6697,                 1.4705,                  0.006,                      1,                0.66221,                0.50727,                0.60518,                 2.7883,                 1.0171,             0.00013861,             0.00013861,             0.00013861
                      3,                0.88252,                  2.105,                 1.2128,                  0.006,                      1,                 0.8543,                0.58426,                0.74023,                 2.5263,                 1.1826,             0.00021564,             0.00021564,             0.00021564
                      4,                0.83107,                 1.4919,                 1.1615,                0.80155,                0.88889,                0.92656,                0.58614,                0.93218,                 2.3717,                 1.2344,             0.00029109,             0.00029109,             0.00029109
                      5,                 0.8191,                 1.2306,                   1.17,                      1,                0.64201,                0.94324,                0.60666,                0.98817,                 2.3258,                  1.378,             0.00036495,             0.00036495,             0.00036495
                      6,                0.73256,                 1.1225,                 1.1432,                      1,                0.96335,                  0.995,                 0.6746,                0.95997,                 2.1266,                 1.3634,             0.00043723,             0.00043723,             0.00043723
                      7,                0.76329,                 1.1887,                 1.1484,                      1,                 0.9585,                  0.995,                0.72214,                0.81659,                 2.1437,                 1.3144,             0.00050792,             0.00050792,             0.00050792
                      8,                 0.7406,                 1.0384,                  1.074,                0.89018,                0.90177,                  0.973,                0.67651,                0.92121,                 1.9987,                 1.4659,             0.00057703,             0.00057703,             0.00057703
                      9,                0.69736,                 1.0008,                 1.0888,                0.98691,                      1,                  0.995,                0.74614,                0.91003,                 1.3989,                 1.5291,             0.00064456,             0.00064456,             0.00064456
                     10,                0.67967,                 1.0228,                 1.0851,                      1,                0.99686,                  0.995,                0.62873,                 1.1144,                 1.4534,                 1.8173,              0.0007105,              0.0007105,              0.0007105
                     11,                0.67547,                0.98499,                 1.0576,                      1,                0.99807,                  0.995,                0.61834,                 1.0611,                  1.561,                 1.6286,             0.00077486,             0.00077486,             0.00077486
                     12,                 0.7309,                 1.0309,                 1.0852,                      1,                0.98302,                  0.995,                0.73868,                 1.0186,                 1.6026,                 1.4483,             0.00083763,             0.00083763,             0.00083763
                     13,                  0.616,                 1.0016,                  1.029,                0.98663,                      1,                  0.995,                 0.7993,                0.83013,                   1.64,                 1.3206,             0.00089882,             0.00089882,             0.00089882
