                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1281,                 3.3568,                 2.6444,                 1.3944,                0.00533,                      1,                0.09562,                0.05902,                0.00533,                      1,                0.09562,                0.05959,                0.88374,                 1.2545,                 3.1457,                 1.2789,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0762,                  3.143,                 2.5622,                 1.3458,                0.00533,                      1,                0.51794,                0.42836,                0.00533,                      1,                0.51794,                0.44421,                0.58249,                0.76783,                 2.9545,                 1.0233,             0.00013307,             0.00013307,             0.00013307
                      3,                0.70557,                 1.3796,                 2.1246,                 1.0993,                0.00533,                      1,                0.86157,                0.75391,                0.00533,                      1,                0.86157,                0.74517,                0.49078,                0.47882,                 2.7398,                0.86396,             0.00019822,             0.00019822,             0.00019822
                      4,                0.57399,                0.76589,                 1.5356,                 1.0072,                0.58564,                    0.5,                  0.775,                0.65807,                0.58564,                    0.5,                  0.775,                0.69366,                 0.5677,                0.56543,                 2.4454,                0.89902,             0.00025545,             0.00025545,             0.00025545
                      5,                0.56472,                0.60712,                 1.1003,                0.97877,                0.67932,                  0.625,                0.73267,                0.66925,                0.67932,                  0.625,                0.73267,                0.64686,                0.54976,                0.56295,                 2.4262,                0.91832,             0.00030476,             0.00030476,             0.00030476
                      6,                0.50867,                0.79795,                  1.052,                0.99106,                0.31279,                0.28791,                0.61231,                0.55521,                0.31279,                0.28791,                0.61231,                0.54505,                0.47484,                0.66138,                 2.6167,                0.87691,             0.00034615,             0.00034615,             0.00034615
                      7,                0.54221,                0.63374,                0.99284,                 1.0034,                0.20508,                  0.125,                0.43931,                 0.3543,                0.20508,                  0.125,                0.43931,                0.35034,                0.52637,                0.96418,                 2.7462,                0.91386,             0.00037962,             0.00037962,             0.00037962
                      8,                0.50458,                0.46093,                0.89894,                0.93873,                  0.552,                  0.466,                0.59194,                0.49851,                  0.552,                  0.466,                0.59194,                0.49067,                 0.5607,                0.86421,                 2.6256,                0.92786,             0.00040517,             0.00040517,             0.00040517
                      9,                0.50015,                0.49401,                0.84261,                0.94634,                0.68777,                0.82912,                0.74303,                0.62944,                0.68777,                0.82912,                0.74303,                0.63012,                0.62416,                0.81256,                 2.2079,                0.92836,              0.0004228,              0.0004228,              0.0004228
                     10,                0.51265,                0.56786,                0.84621,                0.97305,                0.59311,                   0.75,                0.70579,                0.63304,                0.59311,                   0.75,                0.70579,                0.62206,                0.49902,                0.74987,                    2.1,                0.90376,             0.00043251,             0.00043251,             0.00043251
                     11,                0.41801,                 0.5406,                 1.1741,                0.95663,                0.41387,                    0.5,                0.48492,                0.34939,                0.44038,                    0.5,                0.43157,                0.36235,                0.90209,                 1.2807,                 2.6802,                 1.2514,              0.0004343,              0.0004343,              0.0004343
                     12,                0.42686,                0.47271,                 1.2025,                0.91077,                0.59659,                  0.375,                0.37188,                0.34283,                0.59659,                  0.375,                0.37217,                0.33471,                0.86393,                 1.3587,                 3.0997,                 1.2003,             0.00042817,             0.00042817,             0.00042817
                     13,                 0.4279,                0.37482,                  1.191,                0.95526,                0.66086,                0.24564,                0.46391,                0.40145,                0.66086,                0.24564,                0.46384,                0.41232,                0.78434,                 1.5136,                 2.9272,                 1.0615,             0.00041412,             0.00041412,             0.00041412
                     14,                0.38902,                0.34543,                 0.9588,                0.96694,                0.67984,                0.53457,                0.73675,                 0.6207,                0.67984,                0.53457,                0.73675,                0.64873,                0.70408,                0.92867,                 2.6108,                 1.0227,             0.00039215,             0.00039215,             0.00039215
                     15,                0.45193,                0.31553,                 1.0005,                0.97881,                0.75704,                  0.875,                  0.747,                0.63976,                0.75704,                  0.875,                  0.747,                0.68767,                0.60229,                0.55568,                 2.2664,                 1.0116,             0.00036226,             0.00036226,             0.00036226
                     16,                 0.3585,                0.27975,                0.92651,                0.90915,                0.76745,                  0.875,                0.84656,                0.76895,                0.76745,                  0.875,                0.84656,                0.77376,                0.56577,                0.47425,                 2.0526,                 0.9503,             0.00032445,             0.00032445,             0.00032445
                     17,                0.36845,                0.33194,                0.92751,                0.92264,                0.79583,                0.97655,                0.90929,                0.85207,                0.79583,                0.97655,                0.90929,                0.84644,                0.48194,                0.44302,                 1.9501,                0.91035,             0.00027872,             0.00027872,             0.00027872
                     18,                0.33161,                0.26829,                0.95707,                0.91953,                0.87473,                0.87314,                0.89977,                 0.8361,                0.87473,                0.87314,                0.89977,                0.84052,                0.39442,                0.41558,                 1.7815,                0.81845,             0.00022507,             0.00022507,             0.00022507
                     19,                0.35298,                0.32172,                0.89133,                0.92371,                0.71867,                      1,                0.84481,                0.78635,                0.71867,                      1,                0.84481,                0.82485,                0.39149,                0.40685,                 1.7862,                0.81066,              0.0001635,              0.0001635,              0.0001635
                     20,                0.30004,                0.23717,                0.84791,                0.87879,                0.77471,                      1,                0.83767,                0.79146,                0.77471,                      1,                0.83767,                0.83767,                0.39971,                0.40163,                 1.7817,                0.80812,              9.401e-05,              9.401e-05,              9.401e-05
